FilmID;Titel;Kategori;Huvudroll;Pris
1;Braveheart;Action;Mel Gibson;20
2;Fucking Åmål;Drama;Lena Svensson;30
3;Matrix;Action;Keanu Reeves;40
4;Fight Club;Action;Brad Pitt;15
5;Patrioten;Action;Mel Gibson;15
6;Goldeneye;Action;Pierce Brosnan;30
7;Blair Witch Project;Rysare;Stella Johnson;25
8;Dum dummare;Komedi;Jim Carrey;30
9;Dödslängtan;Thriller;Ian Hunter;30
10;År 2001;Drama;Melvin Bragg;25
11;Notting Hill;Drama;Julia Roberts;25
12;Little Big Man;Action;Dustin Hoffman;30
13;Fotboll för Buddha;Drama;Jigme Wongfan;25
14;Tootsie;Drama;Dustin Hoffman;20
15;Exorcisten;Rysare;Linda Blair;20
16;Taxi Driver;Action;Robert DeNiro;25
17;American History X;Action;Edward Norton;40
18;Borta med vinden;Drama;Clark Gable;30
19;Änglagård;Drama;Helena Bergström;20
20;Fienden ibland oss;Thriller;Harrison Ford;30
21;Ninth Gate;Thriller;Johnny Depp;15
22;Reality Bites;Drama;Winona Ryder;20
23;Betty Blue;Drama;Jaques Francois;40
24;Leon;Action;Jean Reno;20
25;Black Rain;Action;Michael Douglas;30
26;Cool runnings;Komedi;John Candy;20
27;Fanny och Alexander;Drama;Jarl Kulle;25
28;Indiana Jones;Action;Harrison Ford;40
29;Dodeskaden;Drama;Shinju Shinoda;20
30;GI Jane;Action;Demi Moore;30
31;Dödligt vapen 1;Action;Mel Gibson;25
32;Sjunde inseglet;Drama;Gunnar Björnstrand;25
33;The Shining;Rysare;Jack Nicholson;15
34;Elefantmannen;Drama;John Hurt;20
35;Goldfinger;Action;Sean Connery;25
36;I rosens namn;Drama;Sean Connery;30
37;Jurtjyrkogården;Rysare;Steve Smith;15
38;Ciderhusreglerna;Drama;Michael Caine;25
39;Tillsammans;Drama;Shanti Roney;30
40;Cape Fear;Action;Robert DeNiro;20
41;Cable Guy;Komedi;Jim Carrey;25
42;Cliffhanger;Action;Sylvester Stallone;30
43;Rocky;Action;Sylvester Stallone;25
44;Purpurfärgen;Drama;Whoppi Goldberg;30
45;Krigarens själ;Action;Temaeru Morrison;15
46;Speed;Action;Keanu Reeves;30
47;The Net;Thriller;Sandra Bullock;25
48;Hamlet;Drama;Kenneth Brannagh;30
49;Pluton;Action;Charlie Sheen;25
50;Apocalypse Now;Action;Martin Sheen;20
